,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
0,SIS,Hydro,Reservoir,Store,BO,91.11,0.8,0.0,0.0,0.0,153.73,2015.0,2015.0,2035.0,-17.191557,-65.823456,SIS-010_SIS,Santa Isabel SIS-010 SIS,14
1,COR,Hydro,Reservoir,Store,BO,65.25,0.8,0.0,0.0,0.0,193002.74,2015.0,2015.0,2035.0,-17.2124218,-65.8765639,COR-010_COR,Corani COR-010 COR,16
2,SJS,Hydro,Reservoir,Store,BO,54.51,0.8,0.0,0.0,0.0,91.69,2015.0,2015.0,2035.0,-17.1674464,-65.7881271,SJS-230_SJS,San Jose 1 SJS-230 SJS,63
3,SJE,Hydro,Reservoir,Store,BO,68.38,0.8,0.0,0.0,0.0,28.9,2015.0,2015.0,2035.0,-17.1013447,-65.7867551,SJE-230_SJE,San Jose 2 SJE-230 SJE,110
4,ZON,Hydro,Reservoir,Store,BO,11.04,0.8,0.0,0.0,0.0,3121.0,2015.0,2015.0,2035.0,-16.0997852,-68.0522296,ZON-006_ZON,Zongo ZON-006 ZON,2
5,TIQ,Hydro,Reservoir,Store,BO,9.72,0.8,0.0,0.0,0.0,7716.32,2015.0,2015.0,2035.0,-16.2016284,-68.1389095,TIG-006_TIQ,Tiquimani TIG-006 TIQ,32
6,BOT,Hydro,Reservoir,Store,BO,6.81,0.8,0.0,0.0,0.0,13.16,2015.0,2015.0,2035.0,-16.1922082,-68.1405975,BOT-006_BOT,Botijlaca BOT-006 BOT,32
7,CUT,Hydro,Reservoir,Store,BO,22.97,0.8,0.0,0.0,0.0,40.32,2015.0,2015.0,2035.0,-16.1829477,-68.1399833,CUT-006_CUT,Cuticucho CUT-006 CUT,32
8,SRO01,Hydro,Reservoir,Store,BO,6.9,0.8,0.0,0.0,0.0,1.02,2015.0,2015.0,2035.0,-16.13164,-68.10882,SRO-006_SRO01,Santa Rosa BC SRO-006 SRO01,2
9,SRO02*,Hydro,Reservoir,Store,BO,10.69,0.8,0.0,0.0,0.0,792.31,2015.0,2015.0,2035.0,-16.13165,-68.10883,SRO-006_SRO02,Santa Rosa AC SRO-006 SRO02,2
10,SAI,Hydro,Reservoir,Store,BO,10.5,0.8,0.0,0.0,0.0,2.85,2015.0,2015.0,2035.0,-16.124116,-68.0909298,SAI-006_SAI,Sainani SAI-006 SAI,2
11,CHU*,Hydro,Reservoir,Store,BO,25.39,0.8,0.0,0.0,0.0,13.24,2015.0,2015.0,2035.0,-16.1071476,-68.0710414,CHU-006_CHU,Chururaqui CHU-006 CHU,2
12,HAR,Hydro,Reservoir,Store,BO,25.85,0.8,0.0,0.0,0.0,4.76,2015.0,2015.0,2035.0,-16.0892998,-68.0444084,HAR-006_HAR,Harca HAR-006 HAR,2
13,CAH,Hydro,Reservoir,Store,BO,28.02,0.8,0.0,0.0,0.0,8.27,2015.0,2015.0,2035.0,-16.0566164,-68.0151562,CAH-006_CAH,Cahua CAH-006 CAH,1
14,HUA,Hydro,Reservoir,Store,BO,30.15,0.8,0.0,0.0,0.0,15.13,2015.0,2015.0,2035.0,-16.0411515,-67.9771815,HUA-006_HUA,Huaji HUA-006 HUA,1
15,MIG,Hydro,Reservoir,Store,BO,2.55,0.8,0.0,0.0,0.0,2732.94,2015.0,2015.0,2035.0,-16.9254382,-67.3769733,MIG-069_MIG,Miguilla MIG-069 MIG,71
16,ANG,Hydro,Reservoir,Store,BO,6.23,0.8,0.0,0.0,0.0,13566.64,2015.0,2015.0,2035.0,-16.8943087,-67.316225,MIG-069_ANG,Angostura MIG-069 ANG,71
17,CHO,Hydro,Reservoir,Store,BO,6.2,0.8,0.0,0.0,0.0,103.74,2015.0,2015.0,2035.0,-16.8481541,-67.3186577,MIG-069_CHO,Choquetanga MIG-069 CHO,71
18,CRB,Hydro,Reservoir,Store,BO,6.13,0.8,0.0,0.0,0.0,1382.71,2015.0,2015.0,2035.0,-16.8681617,-67.3533474,MIG-069_CRB,Carabuco MIG-069 CRB,71
19,CHJ,Hydro,Reservoir,Store,BO,38.4,0.8,0.0,0.0,0.0,8251.22,2015.0,2015.0,2035.0,-16.412412,-67.7719186,CHJ-011_CHJ,Chojlla CHJ-011 CHJ,112
20,YAN,Hydro,Reservoir,Store,BO,50.79,0.8,0.0,0.0,0.0,56.03,2015.0,2015.0,2035.0,-16.3886717,-67.7450514,YAN-011_YAN,Yanacachi YAN-011 YAN,35
21,KAN,Hydro,Reservoir,Store,BO,7.54,0.8,0.0,0.0,0.0,309.72,2015.0,2015.0,2035.0,-17.3173412,-66.2223072,KAN-115_KAN,Kanata KAN-115 KAN,52
22,KIL,Hydro,Reservoir,Store,BO,11.49,0.8,0.0,0.0,0.0,277.04,2015.0,2015.0,2035.0,-19.7812088,-66.3484859,YUR-069_KIL,Kilpani YUR-069 KIL,23
23,LAN,Hydro,Reservoir,Store,BO,5.15,0.8,0.0,0.0,0.0,1.97,2015.0,2015.0,2035.0,-19.8172138,-66.3210774,YUR-069_LAN,Landara YUR-069 LAN,23
24,PUH*,Hydro,Reservoir,Store,BO,2.4,0.8,0.0,0.0,0.0,17.66,2015.0,2015.0,2035.0,-20.0486377,-66.1353154,YUR-069_PUH,Punutuma YUR-069 PUH,23
25,QUE,Hydro,Reservoir,Store,BO,1.89,0.8,0.0,0.0,0.0,12.4,2015.0,2015.0,2035.0,-16.9992413,-67.2604775,VIN-069_QUE,Quehata VIN-069 QUE,71
26,SJA,Hydro,Reservoir,Store,BO,7.46,0.8,0.0,0.0,0.0,5443.6,2015.0,2015.0,2035.0,-21.5761915,-64.7209194,TAJ-115_SJA,San Jacinto TAJ-115 SJA,88
27,MIS,Hydro,Reservoir,Store,BO,118.68,0.8,0.0,0.0,0.0,330427.89,2015.0,2015.0,2035.0,-17.3151747,-66.260958,MIS-115_MIS,Misicuni MIS-115 MIS,52
28,GCH01*,Natural Gas,Steam Turbine,PP,BO,17.86,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.7861315,-63.1542483,GCH-069_GCH01,Guaracachi GCH-069 GCH01,104
29,GCH02*,Natural Gas,Steam Turbine,PP,BO,16.9,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.7861514,-63.1537873,GCH-069_GCH02,Guaracachi GCH-069 GCH02,104
30,GCH04*,Natural Gas,Steam Turbine,PP,BO,19.13,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.7861724,-63.1535983,GCH-069_GCH04,Guaracachi GCH-069 GCH04,104
31,GCH06*,Natural Gas,Steam Turbine,PP,BO,19.86,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.7861777,-63.1526582,GCH-069_GCH06,Guaracachi GCH-069 GCH06,104
32,GCH09COM*,Natural Gas,Steam Turbine,PP,BO,97.85,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.7878257,-63.1524502,GCH-069_GCH09COM,Guaracachi GCH-069 GCH09COM,104
33,GCH10COM*,Natural Gas,Steam Turbine,PP,BO,96.83,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.7878307,-63.1526702,GCH-069_GCH10COM,Guaracachi GCH-069 GCH10COM,104
34,GCH11*,Natural Gas,Steam Turbine,PP,BO,59.67,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.7866617,-63.1538432,GCH-069_GCH11,Guaracachi GCH-069 GCH11,104
35,SCZ01,Natural Gas,Steam Turbine,PP,BO,20.3,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.7549838,-63.1443477,PIN-069_SCZ01,Santa Cruz PIN-069 SCZ01,37
36,SCZ02,Natural Gas,Steam Turbine,PP,BO,20.72,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.7547797,-63.1402752,PIN-069_SCZ02,Santa Cruz PIN-069 SCZ02,37
37,UNA01*,Bioenergy,Steam Turbine,PP,BO,34.75,0.31,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.1107808,-63.2482406,MIN-115_UNA01,Unagro MIN-115 UNA01,80
38,SBU01*,Bioenergy,Steam Turbine,PP,BO,4.94,0.31,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-14.3380748,-67.6181427,SBU-115_SBU01,San Buenaventura SBU-115 SBU01,60
39,AGU01,Bioenergy,Steam Turbine,PP,BO,11.9,0.31,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-16.857456,-63.2804035,MIN-115_AGU01,AGUAI MIN-115 AGU01,119
40,ARJ01*,Natural Gas,Steam Turbine,PP,BO,2.65,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-19.0539717,-65.2843742,ARJ-069_ARJ01,Aranajuez ARJ-069 ARJ01,21
41,ARJ02*,Natural Gas,Steam Turbine,PP,BO,2.2,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-19.0540127,-65.2843502,ARJ-069_ARJ02,Aranajuez ARJ-069 ARJ02,21
42,ARJ03*,Natural Gas,Steam Turbine,PP,BO,2.57,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-19.0540407,-65.2843102,ARJ-069_ARJ03,Aranajuez ARJ-069 ARJ03,21
43,ARJ08,Natural Gas,Steam Turbine,PP,BO,18.02,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-19.0542162,-65.282563,ARJ-069_ARJ08,Aranajuez ARJ-069 ARJ08,21
44,ARJ09*,Natural Gas,Steam Turbine,PP,BO,1.46,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-19.0536237,-65.2839672,ARJ-069_ARJ09,Aranajuez ARJ-069 ARJ09,21
45,ARJ11*,Natural Gas,Steam Turbine,PP,BO,1.46,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-19.0536517,-65.2839542,ARJ-069_ARJ11,Aranajuez ARJ-069 ARJ11,21
46,ARJ12*,Natural Gas,Steam Turbine,PP,BO,1.57,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-19.0536857,-65.2839082,ARJ-069_ARJ12,Aranajuez ARJ-069 ARJ12,21
47,ARJ13*,Natural Gas,Steam Turbine,PP,BO,1.52,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-19.0537387,-65.2838972,ARJ-069_ARJ13,Aranajuez ARJ-069 ARJ13,21
48,ARJ14*,Natural Gas,Steam Turbine,PP,BO,1.48,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-19.0537807,-65.2838692,ARJ-069_ARJ14,Aranajuez ARJ-069 ARJ14,21
49,ARJ15*,Natural Gas,Steam Turbine,PP,BO,1.57,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-19.0536027,-65.2840222,ARJ-069_ARJ15,Aranajuez ARJ-069 ARJ15,21
50,VHE01,Natural Gas,Steam Turbine,PP,BO,18.33,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.4299457,-66.1183352,VHE-115_VHE01,Valle Hermoso VHE-115 VHE01,11
51,VHE02,Natural Gas,Steam Turbine,PP,BO,18.62,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.4300947,-66.1182662,VHE-115_VHE02,Valle Hermoso VHE-115 VHE02,11
52,VHE03,Natural Gas,Steam Turbine,PP,BO,18.14,0.35,0.0,0.0,0.0,0.0,2015.0,2015.0,2035.0,-17.4302557,-66.1182022,VHE-115_VHE03,Valle Hermoso VHE-115 VHE03,11
