PowerCapacity;Unit;Name;Zone;Technology;Fuel;Efficiency;MinUpTime;MinDownTime;RampUpRate;RampDownRate;StartUpCost;NoLoadCost;RampingCost;PartLoadMin;MinEfficiency;StartUpTime;CO2Intensity;STOCapacity;STOSelfDischarge;STOMaxChargingPower;STOChargingEfficiency
91.11;SIS;Corani;SIS-010;HDAM;WAT;0.8;0;0;0.06666667;0.06666667;0;0;0;0;1;0;0;153.73;0;0;0.8
65.25;COR;Santa Isabel;COR-010;HDAM;WAT;0.8;0;0;0.06666667;0.06666667;0;0;0;0;1;0;0;193002.74;0;0;0.8
54.51;SJS;San Jose 1;SJS-230;HDAM;WAT;0.8;0;0;0.06666667;0.06666667;0;0;0;0;1;0;0;91.69;0;0;0.8
68.38;SJE;San Jose 2;SJE-230;HDAM;WAT;0.8;0;0;0.06666667;0.06666667;0;0;0;0;1;0;0;28.9;0;0;0.8
11.04;ZON;Zongo;ZON-006;HDAM;WAT;0.8;0;0;0.06666667;0.06666667;0;0;0;0;1;0;0;3121;0;0;0.8
9.72;TIQ;Tiquimani;TIG-006;HDAM;WAT;0.8;0;0;0.06666667;0.06666667;0;0;0;0;1;0;0;7716.32;0;0;0.8
6.81;BOT;Botijlaca;BOT-006;HDAM;WAT;0.8;0;0;0.06666667;0.06666667;0;0;0;0;1;0;0;13.16;0;0;0.8
22.97;CUT;Cuticucho;CUT-006;HDAM;WAT;0.8;0;0;0.06666667;0.06666667;0;0;0;0;1;0;0;40.32;0;0;0.8
6.9;SRO01;Santa Rosa BC;SRO-006;HDAM;WAT;0.8;0;0;0.06666667;0.06666667;0;0;0;0;1;0;0;1.02;0;0;0.8
10.69;SRO02;Santa Rosa AC;SRO-006;HDAM;WAT;0.8;0;0;0.06666667;0.06666667;0;0;0;0;1;0;0;792.31;0;0;0.8
10.5;SAI;Sainani;SAI-006;HDAM;WAT;0.8;0;0;0.06666667;0.06666667;0;0;0;0;1;0;0;2.85;0;0;0.8
25.39;CHU;Chururaqui;CHU-006;HDAM;WAT;0.8;0;0;0.06666667;0.06666667;0;0;0;0;1;0;0;13.24;0;0;0.8
25.85;HAR;Harca;HAR-006;HDAM;WAT;0.8;0;0;0.06666667;0.06666667;0;0;0;0;1;0;0;4.76;0;0;0.8
28.02;CAH;Cahua;CAH-006;HDAM;WAT;0.8;0;0;0.06666667;0.06666667;0;0;0;0;1;0;0;8.27;0;0;0.8
30.15;HUA;Huaji;HUA-006;HDAM;WAT;0.8;0;0;0.06666667;0.06666667;0;0;0;0;1;0;0;15.13;0;0;0.8
2.55;MIG;Miguilla;MIG-069;HDAM;WAT;0.8;0;0;0.06666667;0.06666667;0;0;0;0;1;0;0;2732.94;0;0;0.8
6.23;ANG;Angostura;MIG-069;HDAM;WAT;0.8;0;0;0.06666667;0.06666667;0;0;0;0;1;0;0;13566.64;0;0;0.8
6.2;CHO;Choquetanga;MIG-069;HDAM;WAT;0.8;0;0;0.06666667;0.06666667;0;0;0;0;1;0;0;103.74;0;0;0.8
6.13;CRB;Carabuco;MIG-069;HDAM;WAT;0.8;0;0;0.06666667;0.06666667;0;0;0;0;1;0;0;1382.71;0;0;0.8
38.4;CHJ;Chojlla;CHJ-011;HDAM;WAT;0.8;0;0;0.06666667;0.06666667;0;0;0;0;1;0;0;8251.22;0;0;0.8
50.79;YAN;Yanacachi;YAN-011;HDAM;WAT;0.8;0;0;0.06666667;0.06666667;0;0;0;0;1;0;0;56.03;0;0;0.8
7.54;KAN;Kanata;KAN-115;HDAM;WAT;0.8;0;0;0.06666667;0.06666667;0;0;0;0;1;0;0;309.72;0;0;0.8
